Buy/Sell,Instrument,CALL/PUT,Price in BTC,Price in $,Volatility,Amount BTC traded,Amount BTC 2,Theo profit,Mark Price,Prix actuel BTC,Date,Asset,Maturity,Strike,Type,Deribit_Instrument,Bid,Ask,is_active
sell,BTC-25APR25-102000-C,CALL,0.0125,1041.33,0.536,0.7,0.7,0.0001,0.0126,83306.63,"17 Mar 2025, 07:15:48",BTC,2025-04-25,102000.0,C,BTC-25APR25-102000-C,0.0013,0.0015,True
sell,BTC-25APR25-102000-C,CALL,0.0125,1041.33,0.536,0.1,0.1,0.0,0.0126,83306.63,"17 Mar 2025, 07:15:48",BTC,2025-04-25,102000.0,C,BTC-25APR25-102000-C,0.0013,0.0015,True
buy,BTC-25APR25-125000-C,CALL,0.0019,158.29,0.605,0.1,0.1,0.0,0.002,83308.29,"17 Mar 2025, 07:15:47",BTC,2025-04-25,125000.0,C,BTC-25APR25-125000-C,0.0002,0.0003,True
buy,BTC-25APR25-116000-C,CALL,0.0037,308.33,0.575,0.1,0.1,0.0,0.0038,83332.09,"17 Mar 2025, 07:05:29",BTC,2025-04-25,116000.0,C,BTC-25APR25-116000-C,0.0004,0.0006,True
sell,BTC-25APR25-86000-C,CALL,0.0565,4708.15,0.524,0.1,0.1,0.0,0.0564,83330.17,"17 Mar 2025, 07:05:02",BTC,2025-04-25,86000.0,C,BTC-25APR25-86000-C,0.0135,0.014,True
sell,BTC-25APR25-84000-C,CALL,0.0675,5630.0,0.526,0.1,0.1,0.0,0.0673,83407.4,"17 Mar 2025, 07:04:14",BTC,2025-04-25,84000.0,C,BTC-25APR25-84000-C,0.0185,0.0195,True
sell,BTC-25APR25-84000-P,PUT,0.07,5834.36,0.526,0.1,0.1,0.0,0.0699,83348.07,"17 Mar 2025, 07:03:43",BTC,2025-04-25,84000.0,P,BTC-25APR25-84000-P,0.1185,0.124,True
sell,BTC-25APR25-75000-P,PUT,0.028,2333.6,0.55,0.7,0.7,0.0002,0.0278,83342.92,"17 Mar 2025, 07:03:42",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
sell,BTC-25APR25-75000-P,PUT,0.028,2333.04,0.5489999999999999,0.1,0.1,0.0,0.0278,83322.82,"17 Mar 2025, 07:03:07",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
sell,BTC-25APR25-75000-P,PUT,0.028,2332.89,0.5489999999999999,0.1,0.1,0.0,0.0278,83317.6,"17 Mar 2025, 07:03:06",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
sell,BTC-25APR25-75000-P,PUT,0.028,2332.89,0.5489999999999999,0.1,0.1,0.0,0.0278,83317.6,"17 Mar 2025, 07:03:05",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
buy,BTC-25APR25-75000-P,PUT,0.0285,2373.28,0.5529999999999999,0.1,0.1,0.0001,0.028,83272.99,"17 Mar 2025, 07:02:54",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
buy,BTC-25APR25-75000-P,PUT,0.0285,2373.08,0.552,0.1,0.1,0.0001,0.028,83266.11,"17 Mar 2025, 07:02:44",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
sell,BTC-25APR25-76000-P,PUT,0.031,2581.54,0.541,5.0,5.0,0.0011,0.0312,83275.6,"17 Mar 2025, 07:02:27",BTC,2025-04-25,76000.0,P,BTC-25APR25-76000-P,0.0535,0.0545,True
buy,BTC-25APR25-95000-C,CALL,0.025,2081.9,0.53,0.1,0.1,0.0001,0.0245,83275.96,"17 Mar 2025, 07:02:26",BTC,2025-04-25,95000.0,C,BTC-25APR25-95000-C,0.0032,0.0035,True
buy,BTC-25APR25-84000-P,PUT,0.074,6121.62,0.524,3.4,3.4,0.0017,0.0745,82724.59,"17 Mar 2025, 06:34:21",BTC,2025-04-25,84000.0,P,BTC-25APR25-84000-P,0.1185,0.124,True
buy,BTC-25APR25-84000-P,PUT,0.074,6121.62,0.524,0.9,0.9,0.0005,0.0745,82724.59,"17 Mar 2025, 06:34:21",BTC,2025-04-25,84000.0,P,BTC-25APR25-84000-P,0.1185,0.124,True
sell,BTC-25APR25-84000-P,PUT,0.074,6121.62,0.524,0.7,0.7,0.0004,0.0745,82724.59,"17 Mar 2025, 06:34:21",BTC,2025-04-25,84000.0,P,BTC-25APR25-84000-P,0.1185,0.124,True
buy,BTC-25APR25-65000-P,PUT,0.009,744.56,0.606,0.2,0.2,0.0,0.009,82728.43,"17 Mar 2025, 06:34:17",BTC,2025-04-25,65000.0,P,BTC-25APR25-65000-P,0.0115,0.0125,True
buy,BTC-25APR25-65000-P,PUT,0.009,744.56,0.606,0.2,0.2,0.0,0.009,82728.43,"17 Mar 2025, 06:34:17",BTC,2025-04-25,65000.0,P,BTC-25APR25-65000-P,0.0115,0.0125,True
buy,BTC-25APR25-75000-P,PUT,0.03,2481.09,0.5479999999999999,0.1,0.1,0.0,0.0298,82702.87,"17 Mar 2025, 06:33:57",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
buy,BTC-25APR25-175000-C,CALL,0.0003,24.86,0.813,0.1,0.1,0.0,0.0003,82883.27,"17 Mar 2025, 06:28:59",BTC,2025-04-25,175000.0,C,BTC-25APR25-175000-C,0.0,0.0002,True
buy,BTC-25APR25-102000-C,CALL,0.0125,1036.31,0.544,0.1,0.1,0.0,0.0124,82905.13,"17 Mar 2025, 06:28:14",BTC,2025-04-25,102000.0,C,BTC-25APR25-102000-C,0.0013,0.0015,True
buy,BTC-25APR25-108000-C,CALL,0.0075,624.44,0.556,0.1,0.1,0.0,0.0075,83259.32,"17 Mar 2025, 06:06:20",BTC,2025-04-25,108000.0,C,BTC-25APR25-108000-C,0.0008,0.0009,True
buy,BTC-25APR25-130000-C,CALL,0.0014,116.58,0.624,0.1,0.1,0.0,0.0015,83268.4,"17 Mar 2025, 06:04:06",BTC,2025-04-25,130000.0,C,BTC-25APR25-130000-C,0.0001,0.0004,True
buy,BTC-25APR25-116000-C,CALL,0.0038,316.14,0.579,0.1,0.1,0.0,0.0039,83195.84,"17 Mar 2025, 06:03:25",BTC,2025-04-25,116000.0,C,BTC-25APR25-116000-C,0.0004,0.0006,True
sell,BTC-25APR25-84000-P,PUT,0.072,5986.75,0.53,0.1,0.1,0.0,0.0717,83149.35,"17 Mar 2025, 06:01:42",BTC,2025-04-25,84000.0,P,BTC-25APR25-84000-P,0.1185,0.124,True
sell,BTC-25APR25-84000-P,PUT,0.072,5986.58,0.53,0.1,0.1,0.0,0.0717,83146.96,"17 Mar 2025, 06:01:41",BTC,2025-04-25,84000.0,P,BTC-25APR25-84000-P,0.1185,0.124,True
sell,BTC-25APR25-84000-P,PUT,0.072,5986.58,0.53,1.7,1.7,0.0006,0.0717,83146.96,"17 Mar 2025, 06:01:41",BTC,2025-04-25,84000.0,P,BTC-25APR25-84000-P,0.1185,0.124,True
sell,BTC-25APR25-84000-P,PUT,0.072,5986.49,0.53,0.1,0.1,0.0,0.0717,83145.74,"17 Mar 2025, 06:01:16",BTC,2025-04-25,84000.0,P,BTC-25APR25-84000-P,0.1185,0.124,True
sell,BTC-25APR25-84000-P,PUT,0.072,5986.35,0.53,0.1,0.1,0.0,0.0717,83143.8,"17 Mar 2025, 06:01:13",BTC,2025-04-25,84000.0,P,BTC-25APR25-84000-P,0.1185,0.124,True
sell,BTC-25APR25-84000-P,PUT,0.072,5986.24,0.53,2.8,2.8,0.0008,0.0717,83142.28,"17 Mar 2025, 06:01:12",BTC,2025-04-25,84000.0,P,BTC-25APR25-84000-P,0.1185,0.124,True
buy,BTC-25APR25-84000-P,PUT,0.072,5986.24,0.53,0.1,0.1,0.0,0.0717,83142.28,"17 Mar 2025, 06:01:12",BTC,2025-04-25,84000.0,P,BTC-25APR25-84000-P,0.1185,0.124,True
sell,BTC-25APR25-92000-C,CALL,0.0325,2702.43,0.527,25.0,25.0,0.0027,0.0326,83151.75,"17 Mar 2025, 05:58:06",BTC,2025-04-25,92000.0,C,BTC-25APR25-92000-C,0.005,0.0055,True
sell,BTC-25APR25-92000-C,CALL,0.0325,2702.43,0.527,25.0,25.0,0.0027,0.0326,83151.75,"17 Mar 2025, 05:58:06",BTC,2025-04-25,92000.0,C,BTC-25APR25-92000-C,0.005,0.0055,True
buy,BTC-25APR25-96000-C,CALL,0.0225,1870.91,0.5329999999999999,25.0,25.0,0.0033,0.0224,83151.75,"17 Mar 2025, 05:58:06",BTC,2025-04-25,96000.0,C,BTC-25APR25-96000-C,0.0027,0.003,True
buy,BTC-25APR25-96000-C,CALL,0.0225,1870.91,0.5329999999999999,25.0,25.0,0.0033,0.0224,83151.75,"17 Mar 2025, 05:58:06",BTC,2025-04-25,96000.0,C,BTC-25APR25-96000-C,0.0027,0.003,True
sell,BTC-25APR25-80000-P,PUT,0.0485,4035.57,0.532,0.1,0.1,0.0,0.0487,83207.66,"17 Mar 2025, 05:51:27",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
sell,BTC-25APR25-100000-C,CALL,0.0155,1290.05,0.5379999999999999,0.1,0.1,0.0,0.0154,83229.1,"17 Mar 2025, 05:51:00",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
buy,BTC-25APR25-100000-C,CALL,0.0155,1290.71,0.537,0.1,0.1,0.0,0.0155,83271.63,"17 Mar 2025, 05:50:22",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
buy,BTC-25APR25-135000-C,CALL,0.0011,91.54,0.648,0.1,0.1,0.0,0.0011,83216.12,"17 Mar 2025, 05:50:05",BTC,2025-04-25,135000.0,C,BTC-25APR25-135000-C,0.0001,0.0003,True
buy,BTC-25APR25-114000-C,CALL,0.0045,374.77,0.5720000000000001,0.1,0.1,0.0,0.0043,83282.48,"17 Mar 2025, 05:41:02",BTC,2025-04-25,114000.0,C,BTC-25APR25-114000-C,0.0004,0.0006,True
buy,BTC-25APR25-102000-C,CALL,0.0125,1041.1,0.535,0.1,0.1,0.0,0.0126,83288.08,"17 Mar 2025, 05:40:30",BTC,2025-04-25,102000.0,C,BTC-25APR25-102000-C,0.0013,0.0015,True
buy,BTC-25APR25-180000-C,CALL,0.0002,16.66,0.804,0.1,0.1,0.0,0.0002,83285.85,"17 Mar 2025, 05:33:42",BTC,2025-04-25,180000.0,C,BTC-25APR25-180000-C,0.0,0.0002,True
sell,BTC-25APR25-180000-C,CALL,0.0002,16.66,0.804,1.0,1.0,0.0,0.0002,83285.48,"17 Mar 2025, 05:33:33",BTC,2025-04-25,180000.0,C,BTC-25APR25-180000-C,0.0,0.0002,True
sell,BTC-25APR25-130000-C,CALL,0.0013,108.29,0.617,0.1,0.1,0.0,0.0015,83299.06,"17 Mar 2025, 05:32:58",BTC,2025-04-25,130000.0,C,BTC-25APR25-130000-C,0.0001,0.0004,True
sell,BTC-25APR25-125000-C,CALL,0.0018,149.93,0.6,0.1,0.1,0.0,0.0019,83291.69,"17 Mar 2025, 05:32:42",BTC,2025-04-25,125000.0,C,BTC-25APR25-125000-C,0.0002,0.0003,True
sell,BTC-25APR25-116000-C,CALL,0.0035,291.54,0.569,0.1,0.1,0.0,0.0036,83298.33,"17 Mar 2025, 05:29:02",BTC,2025-04-25,116000.0,C,BTC-25APR25-116000-C,0.0004,0.0006,True
buy,BTC-25APR25-102000-C,CALL,0.013,1082.88,0.542,0.1,0.1,0.0,0.0126,83298.33,"17 Mar 2025, 05:29:01",BTC,2025-04-25,102000.0,C,BTC-25APR25-102000-C,0.0013,0.0015,True
buy,BTC-25APR25-100000-C,CALL,0.015,1249.21,0.531,0.1,0.1,0.0,0.0153,83280.74,"17 Mar 2025, 05:28:17",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
sell,BTC-25APR25-100000-C,CALL,0.015,1249.03,0.531,1.0,1.0,0.0002,0.0152,83268.51,"17 Mar 2025, 05:21:57",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
buy,BTC-25APR25-60000-P,PUT,0.005,416.1,0.662,0.1,0.1,0.0,0.0053,83219.97,"17 Mar 2025, 05:14:01",BTC,2025-04-25,60000.0,P,BTC-25APR25-60000-P,0.0055,0.006,True
